mr_iid,discussion_id,criado_por,total_notas,resolvida
98,3f4c0815b0c1ec0fcc64956d15dcaf66730dff08,Developer_01,1,
98,0a8ced9d061fe1444937a0641be5586e4445a759,Developer_01,1,
98,2411f3875234952396fcbce5a42d5f8aeebc0744,Developer_01,1,
98,edf316ec87462d610ab74c01241f10a752275126,Developer_01,1,
98,12ea2e0ccf3f872db5df61c442014e3fb4bec517,Developer_01,1,
98,777d793f8a32c6914aeba341b5db15d7801d827a,Developer_02,2,True
98,6187643ea265b4a6fdd570c4b181ec946c1b6439,Developer_02,2,True
98,65ee711b1d9bf50a657418b0190a80bfdcefec67,Developer_02,2,True
98,ad44a6b9c972694f8290ea3b194cd7aa46223993,Developer_02,1,True
98,4335a216a3fae6eba5cd0b98a529288c3e4e34e1,Developer_02,1,True
98,b4acb264f3ab5261fa104e0aee8cc3b24833a2b9,Developer_02,1,True
98,afd2119090ed25c5b9e7426413080e16e8828c9f,Developer_02,1,True
98,ea3aefbb22c7d149cb714c3dae297bf0b534561c,Developer_02,2,True
98,d9e0b894cdedd1106bc0943cfc19796def67fe10,Developer_02,3,True
98,ae3dc3aa3d903e319977fee501a809522b9e5d37,Developer_02,2,True
98,b70dd97e6c441036455ca7999894fbd1c8fcd898,Developer_02,2,True
98,909ee850feedbb261a9a02be2a99643c92740082,Developer_02,1,True
98,97324fd028095541783a3a5155da0bde546d92ab,Developer_02,3,True
98,1d1d7de72edecc542daa71176215f00802da6d31,Developer_02,2,True
98,348f3eb20e98e6e79082550aa190a8ca374bc92c,Developer_02,1,True
97,a8954b222fd0e2c3d30ff5e15b8bf3ec8fdfee51,Developer_01,1,
97,84e7b2dc178a8b456ecb30464863b0297d6ccf02,Developer_02,2,True
97,5db772367cca97cb6c00c919f5643bea525d85a6,Developer_02,1,True
97,ebaf2487883c72c4a11dad9bfb69a0c88a1a7143,Developer_02,4,True
97,5dfcba7b44959ab0459f75c865609e6e3eaa6cd2,Developer_02,1,
97,ddf9607c39dec94a9deafeb347462afef56533fb,Developer_02,1,
97,24ddbcaa337bff66d8bb8f9abfc68ae4546a4cb7,Developer_03,1,
97,0f4de2fde049565d0cab0c90aa83064a58861a15,Developer_01,1,
97,fa925991a32b980d1426eb1d2d50b9e441b8910e,Developer_01,1,
97,7275309c37d827a9316f8104be2087f61b98d3a3,Developer_02,1,
97,4255eb6dbcb5e1da8860ed59d6cafeab380004ff,Developer_02,1,
97,0d4ae6296dc85af85da30843447db01d7195276b,Developer_01,1,
95,3cb78166bfe2ab37e9cea012524f3942601cd73c,Developer_01,1,
95,3371476d78beb36c017c430ecbaef3133a86a224,Developer_02,2,True
95,e3e1ee1279e9bd82979673af89686c245e28f50e,Developer_02,3,True
95,f9438fbbc589b98862320552e742ee4bfd37abc9,Developer_02,2,True
95,e9892bd0253c30565419d8afec823901b85d3bef,Developer_02,2,True
95,4c00460f7f0fbc0b12e264b10cd6f7c3a5cc41bb,Developer_02,2,True
95,c57eb3a5c74ddaaebe8aadd8069a0dd6034c0b9d,Developer_02,4,True
95,ddb530058f0ad3606a435dc7763bdc429a25261a,Developer_02,3,True
95,3f4de0ed7c8bb52aca8fdfecf0c3b7de8acd0c46,Developer_02,3,True
95,2d00879214903a67cbb8dbc088553013697e5194,Developer_02,3,True
