iid,titulo,autor,criado_em,mergeado_em,dias_ate_merge,commits,arquivos_alterados,linhas_adicionadas,linhas_removidas,mudancas_totais
98,103 Testes API Biosseguridade,Developer_01,2026-06-15T13:31:29.706Z,2026-06-17T12:49:13.294Z,1,9,18,789,0,789
97,99 Testes API Faixa Etária,Developer_01,2026-06-15T12:32:30.378Z,2026-06-17T16:35:21.279Z,2,8,8,338,0,338
95,100 Testes WEB Responsável Técnico de Profissional Animal,Developer_01,2026-05-28T17:40:49.924Z,2026-06-09T13:42:03.624Z,11,10,16,463,20,483
94,98 Testes WEB Núcleo de Produção e Alteração no Clean,Developer_01,2026-05-26T19:04:06.533Z,2026-06-03T20:41:27.302Z,8,14,33,2015,100,2115
93,79 Testes de API Estabelecimento Agroindustrial POA,Developer_01,2026-05-19T21:06:38.281Z,2026-06-03T20:40:20.321Z,14,20,38,2163,18,2181
92,96 Testes API Núcleo Aves,Developer_01,2026-05-18T16:35:31.114Z,2026-05-20T19:41:07.118Z,2,16,9,212,59,271
91,Testes API Exploração Agrícola,Developer_01,2026-05-13T20:16:19.976Z,2026-05-18T12:48:35.203Z,4,5,4,406,0,406
90,93 Testes WEB Unidade Consolidação,Developer_01,2026-05-12T11:14:09.327Z,2026-05-20T16:11:14.342Z,8,12,6,449,32,481
89,89 Testes API Núcleo Suídeos,Developer_01,2026-05-11T20:36:02.773Z,2026-05-14T17:57:45.086Z,2,11,7,456,0,456
88,90 Testes API Unidade de Consolidação,Developer_01,2026-04-27T20:07:31.921Z,2026-04-28T17:52:15.923Z,0,13,6,371,0,371
87,87 Ajustes nos Testes de Integradora/Cooperativa,Developer_01,2026-04-27T14:50:37.758Z,2026-05-04T13:56:18.227Z,6,11,11,291,164,455
86,88 Testes WEB Habilitações Profissional da Área Animal,Developer_01,2026-04-23T15:11:51.862Z,2026-06-18T11:42:28.012Z,55,16,12,384,2,386
85,91 ChromeDriver Updater,Developer_01,2026-04-22T16:37:54.780Z,2026-04-23T18:47:23.225Z,1,3,2,338,52,390
84,84 Manutenções gerais,Developer_01,2026-04-13T20:19:35.324Z,2026-04-15T13:30:43.091Z,1,16,71,664,540,1204
83,85 Testes WEB Revendedora de Animais Vivos,Developer_01,2026-04-13T14:27:26.974Z,2026-04-15T13:47:43.736Z,1,11,7,353,21,374
82,80 Testes API Habilitações,Developer_01,2026-04-07T13:52:48.664Z,2026-04-08T16:32:14.607Z,1,13,17,1223,0,1223
81,84 Testes WEB Vacinador,Developer_01,2026-04-01T18:48:09.291Z,2026-04-06T20:44:23.717Z,5,8,18,372,17,389
80,83 Testes API Revendedora de Animais Vivos,Developer_01,2026-03-31T18:31:19.131Z,2026-04-01T16:06:57.696Z,0,10,4,387,0,387
79,82 Testes API Vacinador Brucelose,Developer_01,2026-03-26T18:50:07.000Z,2026-03-27T14:07:48.615Z,0,4,7,307,2,309
78,77 Testes API Profissional de Área Vegetal,Developer_01,2026-03-24T17:57:52.632Z,2026-03-24T19:56:58.185Z,0,4,6,625,15,640
